,Rank,Movie,Studio,Gross,Theatre,Opening,Opening Theatre,Date,Franchise,Year
133,1,The Exorcist,WB,193000000,0,0,0,12/26/73,The Exorcist,1973
134,2,Exorcist: The Beginning,WB,41821986,2813,18054001,2803,8/20/04,The Exorcist,2004
135,3,The Exorcist Director's Cut(Re-release),WB,39671011,1708,8175666,664,9/22/00,The Exorcist,2000
136,4,Exorcist II: The Heretic,WB,30749142,703,6735000,703,6/17/77,The Exorcist,1977
137,5,The Exorcist III,Fox,26098824,1414,9312219,1288,8/17/90,The Exorcist,1990
138,1,The Expendables,LGF,103068524,3398,34825135,3270,8/13/10,The Expendables,2010
139,2,The Expendables 2,LGF,85028192,3355,28591370,3316,8/17/12,The Expendables,2012
140,3,The Expendables 3,LGF,39322544,3221,15879645,3221,8/15/14,The Expendables,2014
141,1,Fantastic Four (2005),Fox,154696080,3619,56061504,3602,7/8/05,Fantastic Four,2005
142,2,Fantastic Four: Rise of the Silver Surfer,Fox,131921738,3963,58051684,3959,6/15/07,Fantastic Four,2007
143,3,Fantastic Four,Fox,56117548,4004,25685737,3995,8/7/15,Fantastic Four,2015
144,1,Furious 7,Uni.,353007020,4022,147187040,4004,4/3/15,The Fast and the Furious,2015
145,2,Fast & Furious 6,Uni.,238679850,3771,97375245,3658,5/24/13,The Fast and the Furious,2013
146,3,The Fate of the Furious,Uni.,226008385,4329,98786705,4310,4/14/17,The Fast and the Furious,2017
147,4,Fast Five,Uni.,209837675,3793,86198765,3644,4/29/11,The Fast and the Furious,2011
148,5,Fast and Furious,Uni.,155064265,3674,70950500,3461,4/3/09,The Fast and the Furious,2009
149,6,The Fast and the Furious,Uni.,144533925,2899,40089015,2628,6/22/01,The Fast and the Furious,2001
150,7,2 Fast 2 Furious,Uni.,127154901,3418,50472480,3408,6/6/03,The Fast and the Furious,2003
151,8,The Fast and the Furious: Tokyo Drift,Uni.,62514415,3030,23973840,3027,6/16/06,The Fast and the Furious,2006
152,1,Fifty Shades of Grey,Uni.,166167230,3655,85171450,3646,2/13/15,Fifty Shades,2015
153,2,Fifty Shades Darker,Uni.,114581250,3714,46607250,3710,2/10/17,Fifty Shades,2017
154,3,Fifty Shades Freed,Uni.,100407760,3768,38560195,3768,2/9/18,Fifty Shades,2018
155,1,The Final Destination,WB (NL),66477700,3121,27408309,3121,8/28/09,Final Destination,2009
156,2,Final Destination 3,NL,54098051,2880,19173094,2880,2/10/06,Final Destination,2006
157,3,Final Destination,NL,53331147,2587,10015822,2587,3/17/00,Final Destination,2000
158,4,Final Destination 2,NL,46961214,2834,16017141,2834,1/31/03,Final Destination,2003
159,5,Final Destination 5,WB (NL),42587643,3155,18031396,3155,8/12/11,Final Destination,2011
160,1,Finding Dory,BV,486295561,4305,135060273,4305,6/17/16,Finding Nemo,2016
161,2,Finding Nemo,BV,339714978,3425,70251710,3374,5/30/03,Finding Nemo,2003
162,1,Meet the Fockers,Uni.,279261160,3554,46120980,3518,12/22/04,Fockers,2004
163,2,Meet the Parents,Uni.,166244045,2697,28623300,2614,10/6/00,Fockers,2000
164,3,Little Fockers,Uni.,148438600,3675,30833665,3536,12/22/10,Fockers,2010
