,Rank,Movie,Studio,Gross,Theatre,Opening,Opening Theatre,Date,Franchise,Year,Imdb Year,Imdb Rating,Meta Score
133,7,Harry Potter and the Chamber of Secrets,WB,261988482,3682,88357488,3682,11/15/02,Harry Potter,2002,2002,7.4,63
134,8,Harry Potter and the Prisoner of Azkaban,WB,249541069,3855,93687367,3855,6/4/04,Harry Potter,2004,2004,7.9,82
136,1,The Hobbit: An Unexpected Journey,WB (NL),303003568,4100,84617303,4045,12/14/12,The Hobbit,2012,2012,7.9,58
137,2,The Hobbit: The Desolation of Smaug,WB (NL),258366855,3928,73645197,3903,12/13/13,The Hobbit,2013,2013,7.9,66
138,3,The Hobbit: The Battle of the Five Armies,WB (NL),255119788,3875,54724334,3875,12/17/14,The Hobbit,2014,2014,7.4,59
139,1,Home Alone,Fox,285761243,2173,17081997,1202,11/16/90,Home Alone,1990,1990,7.5,63
140,2,Home Alone 2: Lost in New York,Fox,173585516,2461,31126882,2222,11/20/92,Home Alone,1992,1992,6.6,0
141,3,Home Alone 3,Fox,30882515,2261,5085482,2147,12/12/97,Home Alone,1997,1997,4.4,0
142,1,Hotel Transylvania 2,Sony,169700110,3768,48464322,3754,9/25/15,Hotel Transylvania,2015,2015,6.7,44
143,2,Hotel Transylvania,Sony,148313048,3375,42522194,3349,9/28/12,Hotel Transylvania,2012,2012,7.1,47
144,1,How to Train Your Dragon,P/DW,217581231,4060,43732319,4055,3/26/10,How to Train Your Dragon,2010,2010,8.1,74
145,2,How to Train Your Dragon 2,Fox,177002924,4268,49451322,4253,6/13/14,How to Train Your Dragon,2014,2014,7.8,76
146,1,The Hunger Games: Catching Fire,LGF,424668047,4163,158074286,4163,11/22/13,The Hunger Games,2013,2013,7.5,76
147,2,The Hunger Games,LGF,408010692,4137,152535747,4137,3/23/12,The Hunger Games,2012,2012,7.2,68
148,3,The Hunger Games: Mockingjay - Part 1,LGF,337135885,4151,121897634,4151,11/21/14,The Hunger Games,2014,2014,6.7,64
149,4,The Hunger Games: Mockingjay - Part 2,LGF,281723902,4175,102665981,4175,11/20/15,The Hunger Games,2015,2015,6.5,65
150,1,Ice Age: Dawn of the Dinosaurs,Fox,196573705,4102,41690382,4099,7/1/09,Ice Age,2009,2009,7.0,50
151,2,Ice Age: The Meltdown,Fox,195330621,3969,68033544,3964,3/31/06,Ice Age,2006,2006,6.8,58
152,3,Ice Age,Fox,176387405,3345,46312454,3316,3/15/02,Ice Age,2002,2002,7.5,60
153,4,Ice Age: Continental Drift,Fox,161321843,3886,46629259,3881,7/13/12,Ice Age,2012,2012,6.6,49
154,5,Ice Age: Collision Course,Fox,64063008,3997,21373064,3992,7/22/16,Ice Age,2016,2016,5.7,34
155,1,Incredibles 2,BV,448265980,4410,182687905,4410,6/15/18,The Incredibles,2018,2018,8.3,80
156,2,The Incredibles,BV,261441092,3933,70467623,3933,11/5/04,The Incredibles,2004,2004,8.0,90
157,1,Independence Day,Fox,306169268,2977,50228264,2882,7/3/96,Independence Day,1996,1996,7.0,59
158,2,Independence Day: Resurgence,Fox,103144286,4130,41039944,4130,6/24/16,Independence Day,2016,2016,5.2,32
159,1,Indiana Jones and the Kingdom of the Crystal Skull,Par.,317101119,4264,100137835,4260,5/22/08,Indiana Jones,2008,2008,6.2,65
160,2,Raiders of the Lost Ark,Par.,212222025,1078,8305823,1078,6/12/81,Indiana Jones,1981,1981,8.5,85
161,3,Indiana Jones and the Last Crusade,Par.,197171806,2327,29355021,2327,5/24/89,Indiana Jones,1989,1989,8.3,65
162,4,Indiana Jones and the Temple of Doom,Par.,179870271,1687,25337110,1687,5/23/84,Indiana Jones,1984,1984,7.6,57
163,1,Iron Man 3,BV,409013994,4253,174144585,4253,5/3/13,Iron Man,2013,2013,7.2,62
164,2,Iron Man,Par.,318412101,4154,98618668,4105,5/2/08,Iron Man,2008,2008,7.9,79
165,3,Iron Man 2,Par.,312433331,4390,128122480,4380,5/7/10,Iron Man,2010,2010,7.0,57
176,1,Jaws,Uni.,260000000,675,7061513,409,6/20/75,Jaws,1975,1975,8.0,87
177,2,Jaws 2,Uni.,77737272,640,9866023,640,6/16/78,Jaws,1978,1978,5.7,52
178,3,Jaws 3-D,Uni.,45517055,1311,13422500,1300,7/22/83,Jaws,1983,1983,3.6,27
179,4,Jaws IV: The Revenge,Uni.,20763013,1611,7154890,1606,7/17/87,Jaws,1987,1987,2.9,15
180,1,22 Jump Street,Sony,191719337,3426,57071445,3306,6/13/14,Jump Street,2014,2014,7.0,71
181,2,21 Jump Street,Sony,138447667,3148,36302612,3121,3/16/12,Jump Street,2012,2012,7.2,69
182,1,Jurassic World,Uni.,652270625,4291,208806270,4274,6/12/15,Jurassic Park,2015,2015,7.0,59
183,2,Jurassic Park,Uni.,357067947,2566,47026828,2404,6/11/93,Jurassic Park,1993,1993,8.1,68
184,3,Jurassic World: Fallen Kingdom,Uni.,274279755,4485,148024610,4475,6/22/18,Jurassic Park,2018,2018,6.6,51
185,4,The Lost World: Jurassic Park,Uni.,229086679,3565,72132785,3281,5/23/97,Jurassic Park,1997,1997,6.5,59
186,5,Jurassic Park III,Uni.,181171875,3462,50771645,3434,7/18/01,Jurassic Park,2001,2001,5.9,42
187,1,King Kong,Uni.,218080025,3627,50130145,3568,12/14/05,King Kong,2005,2005,7.2,81
188,2,Kong: Skull Island,WB,168052812,3846,61025472,3846,3/10/17,King Kong,2017,2017,6.7,62
189,3,King Kong (1976),Par.,52614445,0,7023921,974,12/17/76,King Kong,1976,1976,5.9,0
190,4,King Kong Lives,DEG,4711220,1105,1172942,1105,12/19/86,King Kong,1986,1986,3.8,0
191,1,Kingsman: The Secret Service,Fox,128261724,3282,36206331,3204,2/13/15,Kingsman Franchise,2015,2014,7.7,60
192,2,Kingsman: The Golden Circle,Fox,100234838,4038,39023010,4003,9/22/17,Kingsman Franchise,2017,2017,6.8,44
